epoch,train_total,train_total_raw,train_base,train_unc,train_neg,train_base_norm,train_unc_norm,train_neg_norm,val_total,val_total_raw,val_base,val_unc,val_neg,val_base_norm,val_unc_norm,val_neg_norm,ref_base,ref_unc,ref_neg
1,0.729625,0.206919,0.206919,0.822973,22.500142,0.729625,1.043519,0.769278,1.076444,0.305276,0.305276,0.832451,20.283744,1.076444,1.055538,0.693500,0.283597,0.788651,29.248373
2,0.540701,0.153341,0.153341,0.842755,16.822023,0.540701,1.068603,0.575144,0.867347,0.245977,0.245977,0.836888,15.312223,0.867347,1.061163,0.523524,0.283597,0.788651,29.248373
3,0.367691,0.104276,0.104276,0.809566,12.788459,0.367691,1.026520,0.437237,0.515081,0.146075,0.146075,0.807455,12.073041,0.515081,1.023844,0.412777,0.283597,0.788651,29.248373
4,0.276318,0.078363,0.078363,0.771879,9.999062,0.276318,0.978733,0.341867,0.501183,0.142134,0.142134,0.764778,10.002320,0.501183,0.969730,0.341979,0.283597,0.788651,29.248373
5,0.265356,0.075254,0.075254,0.759378,9.173602,0.265356,0.962882,0.313645,0.445092,0.126227,0.126227,0.757014,9.339708,0.445092,0.959885,0.319324,0.283597,0.788651,29.248373
6,0.221588,0.062842,0.062842,0.753770,8.079533,0.221588,0.955772,0.276239,0.393611,0.111627,0.111627,0.764689,8.120062,0.393611,0.969617,0.277624,0.283597,0.788651,29.248373
7,0.206075,0.058442,0.058442,0.745565,7.798942,0.206075,0.945368,0.266645,0.356700,0.101159,0.101159,0.752995,7.690399,0.356700,0.954789,0.262934,0.283597,0.788651,29.248373
8,0.192755,0.054665,0.054665,0.738980,7.488468,0.192755,0.937017,0.256030,0.356969,0.101235,0.101235,0.748423,8.346533,0.356969,0.948992,0.285367,0.283597,0.788651,29.248373
9,0.193619,0.054910,0.054910,0.734513,7.904081,0.193619,0.931354,0.270240,0.365554,0.103670,0.103670,0.749030,8.009320,0.365554,0.949761,0.273838,0.283597,0.788651,29.248373
10,0.189276,0.053678,0.053678,0.733539,7.360529,0.189276,0.930118,0.251656,0.358337,0.101623,0.101623,0.746584,7.315236,0.358337,0.946659,0.250107,0.283597,0.788651,29.248373
11,0.198185,0.056205,0.056205,0.735376,7.321935,0.198185,0.932448,0.250337,0.410820,0.116507,0.116507,0.735414,8.875151,0.410820,0.932496,0.303441,0.283597,0.788651,29.248373
12,0.186432,0.052872,0.052872,0.732164,6.850561,0.186432,0.928375,0.234220,0.389106,0.110349,0.110349,0.739064,7.727632,0.389106,0.937125,0.264207,0.283597,0.788651,29.248373
13,0.219565,0.062268,0.062268,0.737397,7.041409,0.219565,0.935010,0.240745,0.380793,0.107992,0.107992,0.777711,5.897256,0.380793,0.986129,0.201627,0.283597,0.788651,29.248373
14,0.196743,0.055796,0.055796,0.731121,6.638316,0.196743,0.927052,0.226964,0.382322,0.108425,0.108425,0.787996,6.096677,0.382322,0.999170,0.208445,0.283597,0.788651,29.248373
15,0.190169,0.053931,0.053931,0.734171,5.691124,0.190169,0.930920,0.194579,0.344723,0.097762,0.097762,0.752454,4.957928,0.344723,0.954103,0.169511,0.283597,0.788651,29.248373
16,0.182403,0.051729,0.051729,0.726642,5.699904,0.182403,0.921374,0.194879,0.354071,0.100413,0.100413,0.734157,6.215611,0.354071,0.930902,0.212511,0.283597,0.788651,29.248373
17,0.191563,0.054327,0.054327,0.728353,5.801355,0.191563,0.923542,0.198348,0.363209,0.103005,0.103005,0.745106,6.005583,0.363209,0.944786,0.205330,0.283597,0.788651,29.248373
18,0.201395,0.057115,0.057115,0.730806,5.995121,0.201395,0.926653,0.204973,0.356509,0.101105,0.101105,0.755709,5.400645,0.356509,0.958230,0.184648,0.283597,0.788651,29.248373
19,0.197221,0.055931,0.055931,0.728552,5.729191,0.197221,0.923795,0.195881,0.475288,0.134790,0.134790,0.725664,7.884190,0.475288,0.920133,0.269560,0.283597,0.788651,29.248373
20,0.220943,0.062659,0.062659,0.727661,5.964784,0.220943,0.922666,0.203936,0.359973,0.102087,0.102087,0.742020,6.525534,0.359973,0.940873,0.223108,0.283597,0.788651,29.248373
21,0.205938,0.119573,0.056522,0.726103,5.942061,0.199303,0.920690,0.203159,0.346290,0.153193,0.096372,0.733604,5.315260,0.339822,0.930202,0.181728,0.283597,0.788651,29.248373
22,0.199685,0.141660,0.053227,0.727520,4.057885,0.187685,0.922487,0.138739,0.373379,0.205649,0.102307,0.737238,4.798477,0.360750,0.934809,0.164060,0.283597,0.788651,29.248373
23,0.240848,0.194693,0.063225,0.724855,4.019848,0.222939,0.919107,0.137438,0.469050,0.257276,0.127897,0.737211,3.944009,0.450983,0.934775,0.134845,0.283597,0.788651,29.248373
24,0.243710,0.214963,0.062579,0.722898,3.448162,0.220662,0.916626,0.117892,0.357192,0.235625,0.094797,0.733953,3.153731,0.334267,0.930643,0.107826,0.283597,0.788651,29.248373
25,0.204483,0.179742,0.050391,0.725429,2.224320,0.177684,0.919836,0.076049,0.359246,0.238225,0.094033,0.737318,2.515177,0.331573,0.934911,0.085994,0.283597,0.788651,29.248373
26,0.207751,0.168198,0.050146,0.726610,1.604237,0.176820,0.921333,0.054849,0.409564,0.271883,0.106819,0.736512,2.382816,0.376659,0.933888,0.081468,0.283597,0.788651,29.248373
27,0.222447,0.191438,0.052863,0.724999,1.617143,0.186402,0.919290,0.055290,0.422962,0.260585,0.108907,0.781694,1.775990,0.384020,0.991178,0.060721,0.283597,0.788651,29.248373
28,0.245530,0.211809,0.057883,0.732788,1.557685,0.204103,0.929167,0.053257,0.362165,0.221648,0.091094,0.739444,1.262213,0.321208,0.937606,0.043155,0.283597,0.788651,29.248373
29,0.237252,0.198939,0.054430,0.727330,1.241982,0.191929,0.922246,0.042463,0.374941,0.265939,0.093064,0.736214,1.552726,0.328155,0.933510,0.053088,0.283597,0.788651,29.248373
30,0.251921,0.252395,0.056946,0.720359,1.594308,0.200800,0.913407,0.054509,0.405463,0.338206,0.100006,0.724366,2.019818,0.352633,0.918487,0.069057,0.283597,0.788651,29.248373
31,0.244791,0.225265,0.053886,0.720942,1.197522,0.190009,0.914145,0.040943,0.485064,0.335549,0.121054,0.749770,1.575075,0.426852,0.950699,0.053852,0.283597,0.788651,29.248373
32,0.247806,0.229791,0.053492,0.718089,1.110118,0.188620,0.910528,0.037955,0.389409,0.266139,0.093401,0.731590,1.073689,0.329345,0.927648,0.036709,0.283597,0.788651,29.248373
33,0.246263,0.234517,0.051858,0.712755,1.048693,0.182857,0.903765,0.035855,0.408032,0.352386,0.096937,0.716798,1.606590,0.341813,0.908891,0.054929,0.283597,0.788651,29.248373
34,0.252519,0.239417,0.052380,0.711205,0.980376,0.184700,0.901800,0.033519,0.444906,0.418936,0.105598,0.716007,1.880118,0.372354,0.907888,0.064281,0.283597,0.788651,29.248373
35,0.261352,0.260714,0.053464,0.710493,1.026421,0.188521,0.900896,0.035093,0.407088,0.306391,0.094216,0.730702,1.049151,0.332218,0.926521,0.035870,0.283597,0.788651,29.248373
36,0.258473,0.241635,0.051522,0.712224,0.832094,0.181674,0.903091,0.028449,0.405363,0.266040,0.092393,0.746035,0.712279,0.325789,0.945964,0.024353,0.283597,0.788651,29.248373
37,0.266752,0.261950,0.052392,0.713690,0.875851,0.184741,0.904950,0.029945,0.454544,0.476572,0.104058,0.714049,1.834233,0.366923,0.905406,0.062712,0.283597,0.788651,29.248373
38,0.285395,0.321398,0.055997,0.710262,1.119320,0.197452,0.900604,0.038269,0.471387,0.548425,0.106914,0.714135,2.095771,0.376992,0.905514,0.071654,0.283597,0.788651,29.248373
39,0.316505,0.378713,0.063070,0.710864,1.305847,0.222392,0.901367,0.044647,0.423913,0.349325,0.093548,0.727792,0.982296,0.329863,0.922832,0.033585,0.283597,0.788651,29.248373
40,0.310410,0.363851,0.060394,0.705765,1.164400,0.212957,0.894902,0.039811,0.429634,0.380539,0.094150,0.712095,1.075900,0.331985,0.902928,0.036785,0.283597,0.788651,29.248373
41,0.284304,0.279270,0.053822,0.703608,0.775433,0.189785,0.892167,0.026512,0.422810,0.299637,0.092081,0.737757,0.668904,0.324689,0.935468,0.022870,0.283597,0.788651,29.248373
42,0.279773,0.259753,0.052658,0.705246,0.682852,0.185679,0.894244,0.023347,0.417101,0.308515,0.090904,0.722336,0.726888,0.320540,0.915913,0.024852,0.283597,0.788651,29.248373
43,0.269085,0.233629,0.049948,0.702563,0.567123,0.176122,0.890841,0.019390,0.450183,0.372439,0.099840,0.719843,1.003072,0.352049,0.912753,0.034295,0.283597,0.788651,29.248373
44,0.273133,0.248351,0.051064,0.699714,0.636578,0.180057,0.887229,0.021765,0.416772,0.276282,0.091080,0.723607,0.564202,0.321162,0.917525,0.019290,0.283597,0.788651,29.248373
